handle,possibly_sensitive_avg_of_nonreply_tweets,is_retweet_avg_of_nonreply_tweets,contains_quote_avg_of_nonreply_tweets,num_referenced_tweets_avg_of_nonreply_tweets,num_hashtags_avg_of_nonreply_tweets,num_mentions_avg_of_nonreply_tweets,num_cashtags_avg_of_nonreply_tweets,num_polls_avg_of_nonreply_tweets,interaction_score_avg_of_nonreply_tweets,lang_mode_of_nonreply_tweets,reply_settings_mode_of_nonreply_tweets,source_mode_of_nonreply_tweets,possibly_sensitive_avg_of_reply_tweets,is_retweet_avg_of_reply_tweets,contains_quote_avg_of_reply_tweets,num_referenced_tweets_avg_of_reply_tweets,num_hashtags_avg_of_reply_tweets,num_mentions_avg_of_reply_tweets,num_cashtags_avg_of_reply_tweets,num_polls_avg_of_reply_tweets,tweet_word_count_avg_of_reply_tweets,lang_mode_of_reply_tweets,reply_settings_mode_of_reply_tweets,source_mode_of_reply_tweets,replyPercentage,following_count,verified,protected,created_at,hasPinnedTweet,urlsInDescription,hashtagsInDescription,userWebsitesAdded,cashtagsInDescription,mentionsInDescription
WhiteCastle,0.0,0.17647058823529413,0.04380475594493116,0.23529411764705882,0.5269086357947435,0.5193992490613266,0.0012515644555694619,0.0037546933667083854,0.001130104009305317,en,everyone,Twitter Web App,0.0,0.225,0.025,0.525,0.2875,0.975,0.0,0.0,19.125,en,everyone,Sprout Social,0.275,3156,True,False,2010-02-19T16:31:34.000Z,True,0,0,1,0,0
YardHouse,0.0,0.0025,0.02125,0.1075,0.23875,0.0575,0.0,0.10875,0.000527242546935586,en,everyone,Khoros Publishing,0.0,0.0,0.0,0.925,0.025,0.9375,0.0,0.0125,10.0125,en,everyone,Khoros CX,0.925,10979,True,False,2009-03-16T19:31:48.000Z,False,0,0,1,0,0
Zaxbys,0.0,0.29620253164556964,0.0949367088607595,0.42658227848101266,0.0379746835443038,0.49240506329113926,0.0,0.0037974683544303796,0.0015180734714300848,en,everyone,Twitter Web App,0.0,0.0375,0.0125,0.9625,0.0,1.2375,0.0,0.0,10.15,en,everyone,Twitter Web App,0.9125,1263,True,False,2011-08-31T13:37:07.000Z,True,0,0,1,0,0
Zippys,0.0,0.0075,0.01125,0.02,1.0975,0.1125,0.0,0.0,0.0007159708196949165,en,everyone,Hootsuite Inc.,0.0,0.0,0.0,0.0,1.05,0.2,0.0,0.0,21.275,en,everyone,Hootsuite Inc.,0.0,3286,False,False,2008-09-10T19:08:40.000Z,False,1,3,1,0,0
ZoesKitchen,0.0,0.14104193138500634,0.02795425667090216,0.16899618805590852,0.1397712833545108,0.3278271918678526,0.0,0.0,0.00022545830372196912,en,everyone,Khoros Publishing App,0.0,0.175,0.0,0.9875,0.0125,1.1375,0.0,0.0,17.7625,en,everyone,Sprout Social,0.8125,29,True,False,2009-05-28T15:38:34.000Z,False,0,0,1,0,0
awrestaurants,0.0,0.32578616352201256,0.04905660377358491,0.4490566037735849,0.47547169811320755,0.5886792452830188,0.0,0.018867924528301886,0.0055471243020684975,en,everyone,Sprinklr,0.0,0.1625,0.0125,0.675,0.1125,0.7875,0.0,0.0125,14.55,en,everyone,Sprinklr,0.5,581,True,False,2009-03-11T23:24:11.000Z,True,0,0,1,0,0
bjsrestaurants,0.0,0.00875,0.00375,0.035,0.3625,0.08875,0.0,0.01625,0.00020680978282082302,en,everyone,HeyOrca,0.0,0.0,0.0,0.7,0.0625,0.7875,0.0,0.0,33.0,en,everyone,Sprout Social,0.7,6566,True,False,2009-04-20T15:41:58.000Z,False,0,0,1,0,0
bostonmarket,0.0,0.02506265664160401,0.03759398496240601,0.10526315789473684,0.08771929824561403,0.11904761904761904,0.0,0.0,0.003633566410046983,en,everyone,MomentFeed.,0.0,0.05063291139240506,0.0,0.379746835443038,0.189873417721519,0.569620253164557,0.0,0.0,23.379746835443036,en,everyone,Sprout Social,0.3291139240506329,1399,True,False,2009-05-06T14:42:53.000Z,False,0,0,1,0,0
caferio,0.0,0.0617906683480454,0.0605296343001261,0.12610340479192939,1.1034047919293821,0.15132408575031525,0.0,0.05170239596469105,0.0008513681231772627,en,everyone,Twitter for iPhone,0.0,0.0125,0.0,0.4,1.125,0.4125,0.0,0.0,35.425,en,everyone,Twitter for iPhone,0.3875,485,True,False,2010-03-01T00:14:41.000Z,True,0,0,1,0,1
calpizzakitchen,0.0,0.12015018773466833,0.12265331664580725,0.31289111389236546,0.6733416770963705,0.34668335419274093,0.0,0.03629536921151439,0.00034435883081352774,en,everyone,Twitter Web App,0.0,0.0125,0.0625,0.7,0.25,0.7,0.0,0.0125,17.5625,en,everyone,Twitter Web App,0.625,12,True,False,2009-01-22T23:41:31.000Z,True,0,0,1,0,0
